web-scraper-start-url	playerlink	playerlink-href
http://m.yankees.mlb.com/tb/roster/40-man/	Daniel Robertson	http://m.yankees.mlb.com/player/621002/daniel-robertson
http://m.yankees.mlb.com/tb/roster/40-man/	Austin Pruitt	http://m.yankees.mlb.com/player/643493/austin-pruitt
http://m.yankees.mlb.com/tb/roster/40-man/	Ryne Stanek	http://m.yankees.mlb.com/player/592773/ryne-stanek
http://m.yankees.mlb.com/tb/roster/40-man/	Andrew Kittredge	http://m.yankees.mlb.com/player/552640/andrew-kittredge
http://m.yankees.mlb.com/tb/roster/40-man/	Kevin Kiermaier	http://m.yankees.mlb.com/player/595281/kevin-kiermaier
web-scraper-start-url	playerlink	playerlink-href
http://m.yankees.mlb.com/tor/roster/40-man/	Richard Urena	http://m.yankees.mlb.com/player/620446/richard-urena
http://m.yankees.mlb.com/tor/roster/40-man/	Russell Martin	http://m.yankees.mlb.com/player/431145/russell-martin
http://m.yankees.mlb.com/tor/roster/40-man/	Aaron Sanchez	http://m.yankees.mlb.com/player/592717/aaron-sanchez
http://m.yankees.mlb.com/tor/roster/40-man/	Roberto Osuna	http://m.yankees.mlb.com/player/532077/roberto-osuna
http://m.yankees.mlb.com/tor/roster/40-man/	Devon Travis	http://m.yankees.mlb.com/player/581527/devon-travis
http://m.yankees.mlb.com/tor/roster/40-man/	Danny Barnes	http://m.yankees.mlb.com/player/592130/danny-barnes
http://m.yankees.mlb.com/tor/roster/40-man/	Marco Estrada	http://m.yankees.mlb.com/player/462136/marco-estrada
http://m.yankees.mlb.com/tor/roster/40-man/	Teoscar Hernandez	http://m.yankees.mlb.com/player/606192/teoscar-hernandez
http://m.yankees.mlb.com/tor/roster/40-man/	Ryan Tepera	http://m.yankees.mlb.com/player/572193/ryan-tepera
http://m.yankees.mlb.com/tor/roster/40-man/	Ryan Goins	http://m.yankees.mlb.com/player/572365/ryan-goins
http://m.yankees.mlb.com/tor/roster/40-man/	Aaron Loup	http://m.yankees.mlb.com/player/571901/aaron-loup
http://m.yankees.mlb.com/tor/roster/40-man/	Marcus Stroman	http://m.yankees.mlb.com/player/573186/marcus-stroman
http://m.yankees.mlb.com/tor/roster/40-man/	Anthony Alford	http://m.yankees.mlb.com/player/546990/anthony-alford
http://m.yankees.mlb.com/tor/roster/40-man/	Lourdes Gurriel	http://m.yankees.mlb.com/player/666971/lourdes-gurriel
http://m.yankees.mlb.com/tor/roster/40-man/	Josh Donaldson	http://m.yankees.mlb.com/player/518626/josh-donaldson
http://m.yankees.mlb.com/tor/roster/40-man/	Luke Maile	http://m.yankees.mlb.com/player/571912/luke-maile
http://m.yankees.mlb.com/tor/roster/40-man/	Kevin Pillar	http://m.yankees.mlb.com/player/607680/kevin-pillar
http://m.yankees.mlb.com/tor/roster/40-man/	Dwight Smith Jr.	http://m.yankees.mlb.com/player/596105/dwight-smith-jr
http://m.yankees.mlb.com/tor/roster/40-man/	Reese McGuire	http://m.yankees.mlb.com/player/624512/reese-mcguire
http://m.yankees.mlb.com/tor/roster/40-man/	Thomas Pannone	http://m.yankees.mlb.com/player/623381/thomas-pannone
http://m.yankees.mlb.com/tor/roster/40-man/	Carlos Ramirez	http://m.yankees.mlb.com/player/570702/carlos-ramirez
http://m.yankees.mlb.com/tor/roster/40-man/	J.A. Happ	http://m.yankees.mlb.com/player/457918/ja-happ
http://m.yankees.mlb.com/tor/roster/40-man/	Joe Biagini	http://m.yankees.mlb.com/player/607352/joe-biagini
http://m.yankees.mlb.com/tor/roster/40-man/	Rowdy Tellez	http://m.yankees.mlb.com/player/642133/rowdy-tellez
http://m.yankees.mlb.com/tor/roster/40-man/	Conner Greene	http://m.yankees.mlb.com/player/641632/conner-greene
http://m.yankees.mlb.com/tor/roster/40-man/	Danny Jansen	http://m.yankees.mlb.com/player/643376/danny-jansen
http://m.yankees.mlb.com/tor/roster/40-man/	Kendrys Morales	http://m.yankees.mlb.com/player/434778/kendrys-morales
http://m.yankees.mlb.com/tor/roster/40-man/	Justin Smoak	http://m.yankees.mlb.com/player/475253/justin-smoak
http://m.yankees.mlb.com/tor/roster/40-man/	Taylor Guerrieri	http://m.yankees.mlb.com/player/605260/taylor-guerrieri
http://m.yankees.mlb.com/tor/roster/40-man/	Steve Pearce	http://m.yankees.mlb.com/player/456665/steve-pearce
http://m.yankees.mlb.com/tor/roster/40-man/	Tim Mayza	http://m.yankees.mlb.com/player/641835/tim-mayza
http://m.yankees.mlb.com/tor/roster/40-man/	Dalton Pompey	http://m.yankees.mlb.com/player/592647/dalton-pompey
http://m.yankees.mlb.com/tor/roster/40-man/	Troy Tulowitzki	http://m.yankees.mlb.com/player/453064/troy-tulowitzki
http://m.yankees.mlb.com/tor/roster/40-man/	Gift Ngoepe	http://m.yankees.mlb.com/player/547912/gift-ngoepe
http://m.yankees.mlb.com/tor/roster/40-man/	Matt Dermody	http://m.yankees.mlb.com/player/571616/matt-dermody
http://m.yankees.mlb.com/tor/roster/40-man/	Tom Koehler	http://m.yankees.mlb.com/player/543408/tom-koehler
http://m.yankees.mlb.com/tor/roster/40-man/	Ryan Borucki	http://m.yankees.mlb.com/player/621366/ryan-borucki
http://m.yankees.mlb.com/tor/roster/40-man/	Dominic Leone	http://m.yankees.mlb.com/player/608678/dominic-leone
http://m.yankees.mlb.com/tor/roster/40-man/	Ezequiel Carrera	http://m.yankees.mlb.com/player/485567/ezequiel-carrera
web-scraper-start-url	playerlink	playerlink-href
http://m.yankees.mlb.com/cle/roster/40-man/	Josh Tomlin	http://m.yankees.mlb.com/player/458708/josh-tomlin
http://m.yankees.mlb.com/cle/roster/40-man/	Bradley Zimmer	http://m.yankees.mlb.com/player/605548/bradley-zimmer
http://m.yankees.mlb.com/cle/roster/40-man/	Adam Plutko	http://m.yankees.mlb.com/player/592644/adam-plutko
http://m.yankees.mlb.com/cle/roster/40-man/	Tyler Naquin	http://m.yankees.mlb.com/player/571980/tyler-naquin
http://m.yankees.mlb.com/cle/roster/40-man/	Dan Otero	http://m.yankees.mlb.com/player/519096/dan-otero
http://m.yankees.mlb.com/cle/roster/40-man/	Cody Allen	http://m.yankees.mlb.com/player/592102/cody-allen
http://m.yankees.mlb.com/cle/roster/40-man/	Cody Anderson	http://m.yankees.mlb.com/player/594736/cody-anderson
http://m.yankees.mlb.com/cle/roster/40-man/	Shawn Morimando	http://m.yankees.mlb.com/player/596049/shawn-morimando
http://m.yankees.mlb.com/cle/roster/40-man/	Zach McAllister	http://m.yankees.mlb.com/player/502083/zach-mcallister
http://m.yankees.mlb.com/cle/roster/40-man/	Yandy Diaz	http://m.yankees.mlb.com/player/650490/yandy-diaz
http://m.yankees.mlb.com/cle/roster/40-man/	Corey Kluber	http://m.yankees.mlb.com/player/446372/corey-kluber
http://m.yankees.mlb.com/cle/roster/40-man/	Jason Kipnis	http://m.yankees.mlb.com/player/543401/jason-kipnis
http://m.yankees.mlb.com/cle/roster/40-man/	Yu-Cheng Chang	http://m.yankees.mlb.com/player/644374/yu-cheng-chang
http://m.yankees.mlb.com/cle/roster/40-man/	Tyler Olson	http://m.yankees.mlb.com/player/621397/tyler-olson
http://m.yankees.mlb.com/cle/roster/40-man/	Shawn Armstrong	http://m.yankees.mlb.com/player/542888/shawn-armstrong
http://m.yankees.mlb.com/cle/roster/40-man/	Greg Allen	http://m.yankees.mlb.com/player/656185/greg-allen
http://m.yankees.mlb.com/cle/roster/40-man/	Edwin Encarnacion	http://m.yankees.mlb.com/player/429665/edwin-encarnacion
http://m.yankees.mlb.com/cle/roster/40-man/	Eric Haase	http://m.yankees.mlb.com/player/606992/eric-haase
http://m.yankees.mlb.com/cle/roster/40-man/	Willi Castro	http://m.yankees.mlb.com/player/650489/willi-castro
http://m.yankees.mlb.com/cle/roster/40-man/	Rob Refsnyder	http://m.yankees.mlb.com/player/608701/rob-refsnyder
http://m.yankees.mlb.com/cle/roster/40-man/	Eric Stamets	http://m.yankees.mlb.com/player/608715/eric-stamets
http://m.yankees.mlb.com/cle/roster/40-man/	Giovanny Urshela	http://m.yankees.mlb.com/player/570482/giovanny-urshela
http://m.yankees.mlb.com/cle/roster/40-man/	Nick Goody	http://m.yankees.mlb.com/player/580792/nick-goody
http://m.yankees.mlb.com/cle/roster/40-man/	Carlos Carrasco	http://m.yankees.mlb.com/player/471911/carlos-carrasco
http://m.yankees.mlb.com/cle/roster/40-man/	Jose Ramirez	http://m.yankees.mlb.com/player/608070/jose-ramirez
http://m.yankees.mlb.com/cle/roster/40-man/	Lonnie Chisenhall	http://m.yankees.mlb.com/player/502082/lonnie-chisenhall
http://m.yankees.mlb.com/cle/roster/40-man/	Francisco Mejia	http://m.yankees.mlb.com/player/642336/francisco-mejia
http://m.yankees.mlb.com/cle/roster/40-man/	Ryan Merritt	http://m.yankees.mlb.com/player/607320/ryan-merritt
http://m.yankees.mlb.com/cle/roster/40-man/	Michael Brantley	http://m.yankees.mlb.com/player/488726/michael-brantley
http://m.yankees.mlb.com/cle/roster/40-man/	Brandon Guyer	http://m.yankees.mlb.com/player/446386/brandon-guyer
http://m.yankees.mlb.com/cle/roster/40-man/	Trevor Bauer	http://m.yankees.mlb.com/player/545333/trevor-bauer
http://m.yankees.mlb.com/cle/roster/40-man/	Yan Gomes	http://m.yankees.mlb.com/player/543228/yan-gomes
http://m.yankees.mlb.com/cle/roster/40-man/	Andrew Miller	http://m.yankees.mlb.com/player/453192/andrew-miller
http://m.yankees.mlb.com/cle/roster/40-man/	Erik Gonzalez	http://m.yankees.mlb.com/player/570481/erik-gonzalez
http://m.yankees.mlb.com/cle/roster/40-man/	Danny Salazar	http://m.yankees.mlb.com/player/517593/danny-salazar
